,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,app-store-server-library-java,Java
31,app-store-server-library-node,TypeScript
32,app-store-server-library-python,Python
33,app-store-server-library-swift,Swift
34,apple-llvm-infrastructure-tools,C++
35,apple_rules_lint,Starlark
36,ARKitScenes,Python
37,AudioUnit-Examples,Swift
38,AudioUnitSDK,C++
39,axlearn,Python
40,batch-processing-gateway,Java
41,ccs-caldavclientlibrary,HTML
42,ccs-caldavtester,Python
43,ccs-calendarserver,Python
44,ccs-pycalendar,Python
45,ccs-pykerberos,C
46,ccs-pyopendirectory,C++
47,ccs-pyosxframeworks,Python
48,ccs-pysecuretransport,Python
49,ccs-twistedextensions,Python
50,coremltools,Python
51,cups,C
52,darwin-libplatform,C
53,darwin-libpthread,C
54,darwin-xnu,C
55,device-management,
56,dnikit,Python
57,example-package-dealer,Swift
58,example-package-deckofplayingcards,Swift
59,example-package-figlet,Swift
60,app-store-server-library-java,Java
61,app-store-server-library-node,TypeScript
62,app-store-server-library-python,Python
63,app-store-server-library-swift,Swift
64,apple-llvm-infrastructure-tools,C++
65,apple_rules_lint,Starlark
66,ARKitScenes,Python
67,AudioUnit-Examples,Swift
68,AudioUnitSDK,C++
69,axlearn,Python
70,batch-processing-gateway,Java
71,ccs-caldavclientlibrary,HTML
72,ccs-caldavtester,Python
73,ccs-calendarserver,Python
74,ccs-pycalendar,Python
75,ccs-pykerberos,C
76,ccs-pyopendirectory,C++
77,ccs-pyosxframeworks,Python
78,ccs-pysecuretransport,Python
79,ccs-twistedextensions,Python
80,coremltools,Python
81,cups,C
82,darwin-libplatform,C
83,darwin-libpthread,C
84,darwin-xnu,C
85,device-management,
86,dnikit,Python
87,example-package-dealer,Swift
88,example-package-deckofplayingcards,Swift
89,example-package-figlet,Swift
90,app-store-server-library-java,Java
91,app-store-server-library-node,TypeScript
92,app-store-server-library-python,Python
93,app-store-server-library-swift,Swift
94,apple-llvm-infrastructure-tools,C++
95,apple_rules_lint,Starlark
96,ARKitScenes,Python
97,AudioUnit-Examples,Swift
98,AudioUnitSDK,C++
99,axlearn,Python
100,batch-processing-gateway,Java
101,ccs-caldavclientlibrary,HTML
102,ccs-caldavtester,Python
103,ccs-calendarserver,Python
104,ccs-pycalendar,Python
105,ccs-pykerberos,C
106,ccs-pyopendirectory,C++
107,ccs-pyosxframeworks,Python
108,ccs-pysecuretransport,Python
109,ccs-twistedextensions,Python
110,coremltools,Python
111,cups,C
112,darwin-libplatform,C
113,darwin-libpthread,C
114,darwin-xnu,C
115,device-management,
116,dnikit,Python
117,example-package-dealer,Swift
118,example-package-deckofplayingcards,Swift
119,example-package-figlet,Swift
120,app-store-server-library-java,Java
121,app-store-server-library-node,TypeScript
122,app-store-server-library-python,Python
123,app-store-server-library-swift,Swift
124,apple-llvm-infrastructure-tools,C++
125,apple_rules_lint,Starlark
126,ARKitScenes,Python
127,AudioUnit-Examples,Swift
128,AudioUnitSDK,C++
129,axlearn,Python
130,batch-processing-gateway,Java
131,ccs-caldavclientlibrary,HTML
132,ccs-caldavtester,Python
133,ccs-calendarserver,Python
134,ccs-pycalendar,Python
135,ccs-pykerberos,C
136,ccs-pyopendirectory,C++
137,ccs-pyosxframeworks,Python
138,ccs-pysecuretransport,Python
139,ccs-twistedextensions,Python
140,coremltools,Python
141,cups,C
142,darwin-libplatform,C
143,darwin-libpthread,C
144,darwin-xnu,C
145,device-management,
146,dnikit,Python
147,example-package-dealer,Swift
148,example-package-deckofplayingcards,Swift
149,example-package-figlet,Swift
150,app-store-server-library-java,Java
151,app-store-server-library-node,TypeScript
152,app-store-server-library-python,Python
153,app-store-server-library-swift,Swift
154,apple-llvm-infrastructure-tools,C++
155,apple_rules_lint,Starlark
156,ARKitScenes,Python
157,AudioUnit-Examples,Swift
158,AudioUnitSDK,C++
159,axlearn,Python
160,batch-processing-gateway,Java
161,ccs-caldavclientlibrary,HTML
162,ccs-caldavtester,Python
163,ccs-calendarserver,Python
164,ccs-pycalendar,Python
165,ccs-pykerberos,C
166,ccs-pyopendirectory,C++
167,ccs-pyosxframeworks,Python
168,ccs-pysecuretransport,Python
169,ccs-twistedextensions,Python
170,coremltools,Python
171,cups,C
172,darwin-libplatform,C
173,darwin-libpthread,C
174,darwin-xnu,C
175,device-management,
176,dnikit,Python
177,example-package-dealer,Swift
178,example-package-deckofplayingcards,Swift
179,example-package-figlet,Swift
180,app-store-server-library-java,Java
181,app-store-server-library-node,TypeScript
182,app-store-server-library-python,Python
183,app-store-server-library-swift,Swift
184,apple-llvm-infrastructure-tools,C++
185,apple_rules_lint,Starlark
186,ARKitScenes,Python
187,AudioUnit-Examples,Swift
188,AudioUnitSDK,C++
189,axlearn,Python
190,batch-processing-gateway,Java
191,ccs-caldavclientlibrary,HTML
192,ccs-caldavtester,Python
193,ccs-calendarserver,Python
194,ccs-pycalendar,Python
195,ccs-pykerberos,C
196,ccs-pyopendirectory,C++
197,ccs-pyosxframeworks,Python
198,ccs-pysecuretransport,Python
199,ccs-twistedextensions,Python
200,coremltools,Python
201,cups,C
202,darwin-libplatform,C
203,darwin-libpthread,C
204,darwin-xnu,C
205,device-management,
206,dnikit,Python
207,example-package-dealer,Swift
208,example-package-deckofplayingcards,Swift
209,example-package-figlet,Swift
210,app-store-server-library-java,Java
211,app-store-server-library-node,TypeScript
212,app-store-server-library-python,Python
213,app-store-server-library-swift,Swift
214,apple-llvm-infrastructure-tools,C++
215,apple_rules_lint,Starlark
216,ARKitScenes,Python
217,AudioUnit-Examples,Swift
218,AudioUnitSDK,C++
219,axlearn,Python
220,batch-processing-gateway,Java
221,ccs-caldavclientlibrary,HTML
222,ccs-caldavtester,Python
223,ccs-calendarserver,Python
224,ccs-pycalendar,Python
225,ccs-pykerberos,C
226,ccs-pyopendirectory,C++
227,ccs-pyosxframeworks,Python
228,ccs-pysecuretransport,Python
229,ccs-twistedextensions,Python
230,coremltools,Python
231,cups,C
232,darwin-libplatform,C
233,darwin-libpthread,C
234,darwin-xnu,C
235,device-management,
236,dnikit,Python
237,example-package-dealer,Swift
238,example-package-deckofplayingcards,Swift
239,example-package-figlet,Swift
240,app-store-server-library-java,Java
241,app-store-server-library-node,TypeScript
242,app-store-server-library-python,Python
243,app-store-server-library-swift,Swift
244,apple-llvm-infrastructure-tools,C++
245,apple_rules_lint,Starlark
246,ARKitScenes,Python
247,AudioUnit-Examples,Swift
248,AudioUnitSDK,C++
249,axlearn,Python
250,batch-processing-gateway,Java
251,ccs-caldavclientlibrary,HTML
252,ccs-caldavtester,Python
253,ccs-calendarserver,Python
254,ccs-pycalendar,Python
255,ccs-pykerberos,C
256,ccs-pyopendirectory,C++
257,ccs-pyosxframeworks,Python
258,ccs-pysecuretransport,Python
259,ccs-twistedextensions,Python
260,coremltools,Python
261,cups,C
262,darwin-libplatform,C
263,darwin-libpthread,C
264,darwin-xnu,C
265,device-management,
266,dnikit,Python
267,example-package-dealer,Swift
268,example-package-deckofplayingcards,Swift
269,example-package-figlet,Swift
270,app-store-server-library-java,Java
271,app-store-server-library-node,TypeScript
272,app-store-server-library-python,Python
273,app-store-server-library-swift,Swift
274,apple-llvm-infrastructure-tools,C++
275,apple_rules_lint,Starlark
276,ARKitScenes,Python
277,AudioUnit-Examples,Swift
278,AudioUnitSDK,C++
279,axlearn,Python
280,batch-processing-gateway,Java
281,ccs-caldavclientlibrary,HTML
282,ccs-caldavtester,Python
283,ccs-calendarserver,Python
284,ccs-pycalendar,Python
285,ccs-pykerberos,C
286,ccs-pyopendirectory,C++
287,ccs-pyosxframeworks,Python
288,ccs-pysecuretransport,Python
289,ccs-twistedextensions,Python
290,coremltools,Python
291,cups,C
292,darwin-libplatform,C
293,darwin-libpthread,C
294,darwin-xnu,C
295,device-management,
296,dnikit,Python
297,example-package-dealer,Swift
298,example-package-deckofplayingcards,Swift
299,example-package-figlet,Swift
300,app-store-server-library-java,Java
301,app-store-server-library-node,TypeScript
302,app-store-server-library-python,Python
303,app-store-server-library-swift,Swift
304,apple-llvm-infrastructure-tools,C++
305,apple_rules_lint,Starlark
306,ARKitScenes,Python
307,AudioUnit-Examples,Swift
308,AudioUnitSDK,C++
309,axlearn,Python
310,batch-processing-gateway,Java
311,ccs-caldavclientlibrary,HTML
312,ccs-caldavtester,Python
313,ccs-calendarserver,Python
314,ccs-pycalendar,Python
315,ccs-pykerberos,C
316,ccs-pyopendirectory,C++
317,ccs-pyosxframeworks,Python
318,ccs-pysecuretransport,Python
319,ccs-twistedextensions,Python
320,coremltools,Python
321,cups,C
322,darwin-libplatform,C
323,darwin-libpthread,C
324,darwin-xnu,C
325,device-management,
326,dnikit,Python
327,example-package-dealer,Swift
328,example-package-deckofplayingcards,Swift
329,example-package-figlet,Swift
330,app-store-server-library-java,Java
331,app-store-server-library-node,TypeScript
332,app-store-server-library-python,Python
333,app-store-server-library-swift,Swift
334,apple-llvm-infrastructure-tools,C++
335,apple_rules_lint,Starlark
336,ARKitScenes,Python
337,AudioUnit-Examples,Swift
338,AudioUnitSDK,C++
339,axlearn,Python
340,batch-processing-gateway,Java
341,ccs-caldavclientlibrary,HTML
342,ccs-caldavtester,Python
343,ccs-calendarserver,Python
344,ccs-pycalendar,Python
345,ccs-pykerberos,C
346,ccs-pyopendirectory,C++
347,ccs-pyosxframeworks,Python
348,ccs-pysecuretransport,Python
349,ccs-twistedextensions,Python
350,coremltools,Python
351,cups,C
352,darwin-libplatform,C
353,darwin-libpthread,C
354,darwin-xnu,C
355,device-management,
356,dnikit,Python
357,example-package-dealer,Swift
358,example-package-deckofplayingcards,Swift
359,example-package-figlet,Swift
360,app-store-server-library-java,Java
361,app-store-server-library-node,TypeScript
362,app-store-server-library-python,Python
363,app-store-server-library-swift,Swift
364,apple-llvm-infrastructure-tools,C++
365,apple_rules_lint,Starlark
366,ARKitScenes,Python
367,AudioUnit-Examples,Swift
368,AudioUnitSDK,C++
369,axlearn,Python
370,batch-processing-gateway,Java
371,ccs-caldavclientlibrary,HTML
372,ccs-caldavtester,Python
373,ccs-calendarserver,Python
374,ccs-pycalendar,Python
375,ccs-pykerberos,C
376,ccs-pyopendirectory,C++
377,ccs-pyosxframeworks,Python
378,ccs-pysecuretransport,Python
379,ccs-twistedextensions,Python
380,coremltools,Python
381,cups,C
382,darwin-libplatform,C
383,darwin-libpthread,C
384,darwin-xnu,C
385,device-management,
386,dnikit,Python
387,example-package-dealer,Swift
388,example-package-deckofplayingcards,Swift
389,example-package-figlet,Swift
390,app-store-server-library-java,Java
391,app-store-server-library-node,TypeScript
392,app-store-server-library-python,Python
393,app-store-server-library-swift,Swift
394,apple-llvm-infrastructure-tools,C++
395,apple_rules_lint,Starlark
396,ARKitScenes,Python
397,AudioUnit-Examples,Swift
398,AudioUnitSDK,C++
399,axlearn,Python
400,batch-processing-gateway,Java
401,ccs-caldavclientlibrary,HTML
402,ccs-caldavtester,Python
403,ccs-calendarserver,Python
404,ccs-pycalendar,Python
405,ccs-pykerberos,C
406,ccs-pyopendirectory,C++
407,ccs-pyosxframeworks,Python
408,ccs-pysecuretransport,Python
409,ccs-twistedextensions,Python
410,coremltools,Python
411,cups,C
412,darwin-libplatform,C
413,darwin-libpthread,C
414,darwin-xnu,C
415,device-management,
416,dnikit,Python
417,example-package-dealer,Swift
418,example-package-deckofplayingcards,Swift
419,example-package-figlet,Swift
420,app-store-server-library-java,Java
421,app-store-server-library-node,TypeScript
422,app-store-server-library-python,Python
423,app-store-server-library-swift,Swift
424,apple-llvm-infrastructure-tools,C++
425,apple_rules_lint,Starlark
426,ARKitScenes,Python
427,AudioUnit-Examples,Swift
428,AudioUnitSDK,C++
429,axlearn,Python
430,batch-processing-gateway,Java
431,ccs-caldavclientlibrary,HTML
432,ccs-caldavtester,Python
433,ccs-calendarserver,Python
434,ccs-pycalendar,Python
435,ccs-pykerberos,C
436,ccs-pyopendirectory,C++
437,ccs-pyosxframeworks,Python
438,ccs-pysecuretransport,Python
439,ccs-twistedextensions,Python
440,coremltools,Python
441,cups,C
442,darwin-libplatform,C
443,darwin-libpthread,C
444,darwin-xnu,C
445,device-management,
446,dnikit,Python
447,example-package-dealer,Swift
448,example-package-deckofplayingcards,Swift
449,example-package-figlet,Swift
450,app-store-server-library-java,Java
451,app-store-server-library-node,TypeScript
452,app-store-server-library-python,Python
453,app-store-server-library-swift,Swift
454,apple-llvm-infrastructure-tools,C++
455,apple_rules_lint,Starlark
456,ARKitScenes,Python
457,AudioUnit-Examples,Swift
458,AudioUnitSDK,C++
459,axlearn,Python
460,batch-processing-gateway,Java
461,ccs-caldavclientlibrary,HTML
462,ccs-caldavtester,Python
463,ccs-calendarserver,Python
464,ccs-pycalendar,Python
465,ccs-pykerberos,C
466,ccs-pyopendirectory,C++
467,ccs-pyosxframeworks,Python
468,ccs-pysecuretransport,Python
469,ccs-twistedextensions,Python
470,coremltools,Python
471,cups,C
472,darwin-libplatform,C
473,darwin-libpthread,C
474,darwin-xnu,C
475,device-management,
476,dnikit,Python
477,example-package-dealer,Swift
478,example-package-deckofplayingcards,Swift
479,example-package-figlet,Swift
480,app-store-server-library-java,Java
481,app-store-server-library-node,TypeScript
482,app-store-server-library-python,Python
483,app-store-server-library-swift,Swift
484,apple-llvm-infrastructure-tools,C++
485,apple_rules_lint,Starlark
486,ARKitScenes,Python
487,AudioUnit-Examples,Swift
488,AudioUnitSDK,C++
489,axlearn,Python
490,batch-processing-gateway,Java
491,ccs-caldavclientlibrary,HTML
492,ccs-caldavtester,Python
493,ccs-calendarserver,Python
494,ccs-pycalendar,Python
495,ccs-pykerberos,C
496,ccs-pyopendirectory,C++
497,ccs-pyosxframeworks,Python
498,ccs-pysecuretransport,Python
499,ccs-twistedextensions,Python
500,coremltools,Python
501,cups,C
502,darwin-libplatform,C
503,darwin-libpthread,C
504,darwin-xnu,C
505,device-management,
506,dnikit,Python
507,example-package-dealer,Swift
508,example-package-deckofplayingcards,Swift
509,example-package-figlet,Swift
510,app-store-server-library-java,Java
511,app-store-server-library-node,TypeScript
512,app-store-server-library-python,Python
513,app-store-server-library-swift,Swift
514,apple-llvm-infrastructure-tools,C++
515,apple_rules_lint,Starlark
516,ARKitScenes,Python
517,AudioUnit-Examples,Swift
518,AudioUnitSDK,C++
519,axlearn,Python
520,batch-processing-gateway,Java
521,ccs-caldavclientlibrary,HTML
522,ccs-caldavtester,Python
523,ccs-calendarserver,Python
524,ccs-pycalendar,Python
525,ccs-pykerberos,C
526,ccs-pyopendirectory,C++
527,ccs-pyosxframeworks,Python
528,ccs-pysecuretransport,Python
529,ccs-twistedextensions,Python
530,coremltools,Python
531,cups,C
532,darwin-libplatform,C
533,darwin-libpthread,C
534,darwin-xnu,C
535,device-management,
536,dnikit,Python
537,example-package-dealer,Swift
538,example-package-deckofplayingcards,Swift
539,example-package-figlet,Swift
540,app-store-server-library-java,Java
541,app-store-server-library-node,TypeScript
542,app-store-server-library-python,Python
543,app-store-server-library-swift,Swift
544,apple-llvm-infrastructure-tools,C++
545,apple_rules_lint,Starlark
546,ARKitScenes,Python
547,AudioUnit-Examples,Swift
548,AudioUnitSDK,C++
549,axlearn,Python
550,batch-processing-gateway,Java
551,ccs-caldavclientlibrary,HTML
552,ccs-caldavtester,Python
553,ccs-calendarserver,Python
554,ccs-pycalendar,Python
555,ccs-pykerberos,C
556,ccs-pyopendirectory,C++
557,ccs-pyosxframeworks,Python
558,ccs-pysecuretransport,Python
559,ccs-twistedextensions,Python
560,coremltools,Python
561,cups,C
562,darwin-libplatform,C
563,darwin-libpthread,C
564,darwin-xnu,C
565,device-management,
566,dnikit,Python
567,example-package-dealer,Swift
568,example-package-deckofplayingcards,Swift
569,example-package-figlet,Swift
